ses,study,score,passed,applicant
0.015252140879181086,0.24273644577730652,0.5386799377462584,1.0,0.0
0.11979231227549353,0.295232229381289,0.4578670842287874,0.0,1.0
0.27514501810375863,0.19726633692738288,0.2939534344659077,0.0,0.0
0.41050370768790473,0.4206850513856801,0.5337315588139009,1.0,0.0
0.4139265211927053,0.8011135783078334,0.9125371593705,1.0,1.0
0.8971754559566439,0.8253472932641924,0.9141016620499947,1.0,0.0
0.24293225364008308,0.8595916145812679,0.5609036238013897,0.0,0.0
0.6428169656403622,0.5601289372579469,0.44247742433384474,0.0,0.0
0.7641585325064757,0.5738344048579804,0.8134799745757655,1.0,0.0
0.828783145697622,0.7242353612389734,1.0,1.0,1.0
0.381974889434511,0.48538968657890347,0.6435955033130452,1.0,1.0
0.7058470115469018,0.7750952023932833,1.0,1.0,1.0
0.6286098541914904,0.7684356788557181,0.7756017598099371,1.0,1.0
0.4958902324400374,0.6398347770098993,0.7685425584317765,1.0,1.0
0.5901731029699483,0.3882719813861646,0.43017689508765433,0.0,0.0
0.4013193195204261,0.46699380949674,0.5770287309441402,0.0,1.0
0.47964588252474355,0.6560518666206914,0.5661455981384387,1.0,1.0
0.4312725103460466,0.7301628199523779,0.869914063101714,1.0,0.0
0.22043011155786513,0.34808976749393994,0.5456093842430711,0.0,0.0
0.5876443098397681,0.9874792723633893,0.891358841411896,1.0,1.0
0.1420346488602845,0.855471826500971,0.9766373433944543,1.0,1.0
0.4235003968140752,0.8458207464624221,0.9774743000167609,1.0,1.0
0.32820976220807396,0.5718704469581516,0.5882400766047926,0.0,1.0
0.5321961466148909,0.7958213428497773,0.6620586726482022,1.0,0.0
0.6113523825616325,0.9137162192703682,0.8387673505837632,1.0,1.0
0.3009961958588988,0.2878790589912237,0.4727620413752117,1.0,1.0
0.3064919809817608,0.4742699292369414,0.5593281717963614,0.0,0.0
0.9469082527236086,0.8451025463224241,0.828026950761034,0.0,1.0
0.7434525390639737,0.7365144668785305,0.8547907634596802,1.0,1.0
0.635949130219515,0.7269284690366539,0.9070143132117735,1.0,1.0
0.4700385078140675,0.575769067792644,0.750107955799719,1.0,1.0
0.6171717185435834,0.9508769412475394,1.0,1.0,1.0
0.4866743283178909,0.5712076036755136,0.6932042276783162,1.0,1.0
0.5323198733364011,0.7800455583658857,1.0,1.0,0.0
0.17744016646140298,0.3966732622369347,0.5290286594212747,1.0,0.0
0.4391483457965964,0.48043188180079477,0.7762678015678397,1.0,1.0
0.2843314250909831,0.7290288413977959,0.7701979740535426,1.0,1.0
0.6608958797925113,0.8458868675418962,0.9031371664157926,1.0,0.0
0.8643305471784077,0.8437785224372075,0.9652682349067392,1.0,1.0
0.5211615502963515,0.3751087937932538,0.4256732943954162,0.0,0.0
0.07047645583934159,0.223777814553129,0.5213645366856312,0.0,0.0
0.467659796558667,0.8117239110420224,1.0,1.0,1.0
0.1268290852009133,0.592939396415694,0.6511760176472003,1.0,0.0
0.8712113016364307,0.841524011058355,0.9517042304828345,1.0,1.0
0.6952236677828292,0.8800159448410494,0.7669995325303112,1.0,1.0
